,nameWithOwner,createdAt,stargazerCount,forkCount,url,releases.totalCount,primaryLanguage.name,watchers.totalCount,loc_data.source_loc,loc_data.single_comments_loc,loc_data.single_docstring_loc,loc_data.double_docstring_loc,loc_data.total_comments_loc,loc_data.blank_loc,loc_data.total_line_count
37,apupeikis/pixelazier,2010-09-01T03:29:16Z,4,1,https://github.com/apupeikis/pixelazier,0,Java,1,,,,,,,
38,rupomsoft/Toast-Silicon,2019-11-06T18:13:28Z,4,0,https://github.com/rupomsoft/Toast-Silicon,1,Java,1,,,,,,,
39,SuryaSrikar/Hand_Talk_Translator,2019-09-22T02:33:15Z,4,2,https://github.com/SuryaSrikar/Hand_Talk_Translator,0,Java,1,,,,,,,
40,akkhilaysh/Android-BLE-detection-for-BusModule,2016-11-03T16:49:02Z,4,5,https://github.com/akkhilaysh/Android-BLE-detection-for-BusModule,0,Java,3,,,,,,,
41,pratikdimble/Hibernate_Native_Generator_XML,2017-12-28T08:52:46Z,4,0,https://github.com/pratikdimble/Hibernate_Native_Generator_XML,0,Java,1,,,,,,,
42,Nikita-Jadhav/KNN_HealthCare-Hospital-Management-System,2019-01-04T13:01:12Z,4,3,https://github.com/Nikita-Jadhav/KNN_HealthCare-Hospital-Management-System,0,Java,0,,,,,,,
43,hellokoding/jpa-onetoone-sharedprimarykey-springboot-maven-mysql,2015-10-17T14:58:27Z,3,9,https://github.com/hellokoding/jpa-onetoone-sharedprimarykey-springboot-maven-mysql,0,Java,2,,,,,,,
44,JavaCardOS/Oath-Applet,2015-12-25T12:23:04Z,3,5,https://github.com/JavaCardOS/Oath-Applet,0,Java,2,,,,,,,
45,Crazy-MT/festival_sms,2015-12-26T10:19:47Z,3,1,https://github.com/Crazy-MT/festival_sms,0,Java,2,,,,,,,
46,codehaus/izpack,2012-04-16T08:58:42Z,3,2,https://github.com/codehaus/izpack,0,Java,3,,,,,,,
47,BjerknesClimateDataCentre/QuinCe,2015-04-07T10:35:48Z,3,4,https://github.com/BjerknesClimateDataCentre/QuinCe,110,Java,2,,,,,,,
48,frc5567/2019-Robot,2019-01-08T20:32:31Z,3,0,https://github.com/frc5567/2019-Robot,0,Java,5,,,,,,,
49,kodapan/kodapan-entity-store,2010-07-13T23:18:13Z,3,1,https://github.com/kodapan/kodapan-entity-store,0,Java,1,,,,,,,
50,novoda/storage-path-finder,2018-06-18T14:06:29Z,3,0,https://github.com/novoda/storage-path-finder,0,Java,27,,,,,,,
51,ShardBytes/Evolutions,2018-05-13T19:02:34Z,3,0,https://github.com/ShardBytes/Evolutions,0,Java,1,,,,,,,
52,Lomztein/Semesterproject01-Gruppe30-2018,2018-09-11T08:55:49Z,3,0,https://github.com/Lomztein/Semesterproject01-Gruppe30-2018,0,Java,4,,,,,,,
53,ndorigatti/MultiColorProgressBar,2014-07-30T17:12:14Z,3,0,https://github.com/ndorigatti/MultiColorProgressBar,0,Java,1,,,,,,,
54,shahria73/Fotoshop-G-14,2019-03-08T15:24:20Z,3,0,https://github.com/shahria73/Fotoshop-G-14,0,Java,0,,,,,,,
55,Planumex/Planumex-Blockchain,2018-11-20T03:54:04Z,3,1,https://github.com/Planumex/Planumex-Blockchain,1,Java,2,,,,,,,
56,pratikdimble/Hibernate_UUID_Generator_XML,2017-12-28T08:11:59Z,3,0,https://github.com/pratikdimble/Hibernate_UUID_Generator_XML,0,Java,1,,,,,,,
57,dragona/survey,2020-02-12T04:00:25Z,2,46,https://github.com/dragona/survey,0,Java,1,,,,,,,
58,SoftwareEconomics/primary-ports-kata,2019-04-14T11:56:55Z,2,6,https://github.com/SoftwareEconomics/primary-ports-kata,0,Java,2,,,,,,,
59,SurendraVidiyala/BankingApp,2018-01-23T20:26:27Z,2,10,https://github.com/SurendraVidiyala/BankingApp,0,Java,0,,,,,,,
60,DotFreelance/To-Do-Bot,2016-01-12T22:22:31Z,2,5,https://github.com/DotFreelance/To-Do-Bot,0,Java,7,,,,,,,
61,VHAINNOVATIONS/Telepathology,2015-03-27T14:37:44Z,2,8,https://github.com/VHAINNOVATIONS/Telepathology,0,Java,13,,,,,,,
62,gavinxxxxxx/Primary,2017-04-26T03:23:35Z,2,0,https://github.com/gavinxxxxxx/Primary,0,Java,1,,,,,,,
63,wanxuedong/PrimaryExercises,2019-12-27T05:17:43Z,2,0,https://github.com/wanxuedong/PrimaryExercises,0,Java,1,,,,,,,
64,OpenSTL/STLCourts-api,2015-09-17T15:19:20Z,2,2,https://github.com/OpenSTL/STLCourts-api,5,Java,15,,,,,,,
65,GuoZhaoHui628/PrimaryCustomView,2017-12-28T02:49:28Z,2,0,https://github.com/GuoZhaoHui628/PrimaryCustomView,0,Java,0,,,,,,,
66,helipilot50/store-primary-key,2015-10-06T23:27:53Z,2,0,https://github.com/helipilot50/store-primary-key,0,Java,1,,,,,,,
67,Jennifer331/BitmapPrimaryDemo,2015-12-10T04:00:03Z,2,1,https://github.com/Jennifer331/BitmapPrimaryDemo,0,Java,2,,,,,,,
68,Shallow-Xu/union_primary_key,2017-07-12T09:28:25Z,2,1,https://github.com/Shallow-Xu/union_primary_key,0,Java,1,,,,,,,
69,itqpleyva/CompositePrimaryKeyJPA,2020-05-18T19:22:39Z,2,0,https://github.com/itqpleyva/CompositePrimaryKeyJPA,0,Java,1,,,,,,,
70,wchkong/niuke-primary-algorithm-course,2019-08-06T14:54:45Z,2,0,https://github.com/wchkong/niuke-primary-algorithm-course,0,Java,1,,,,,,,
71,DysaniazzZ/HelloAndroid,2016-09-08T10:32:01Z,2,0,https://github.com/DysaniazzZ/HelloAndroid,0,Java,1,,,,,,,
72,cjqCN/tinypk,2019-01-10T15:33:17Z,2,0,https://github.com/cjqCN/tinypk,0,Java,0,,,,,,,
73,picketbox-back/picketbox-infinispan,2012-08-02T16:46:47Z,2,2,https://github.com/picketbox-back/picketbox-infinispan,0,Java,3,,,,,,,
74,SoaringPhoenix/Memorandum_by_Freeman,2018-03-22T07:09:51Z,2,0,https://github.com/SoaringPhoenix/Memorandum_by_Freeman,0,Java,0,,,,,,,
75,RED-M0CKING-LINE/Team5183Robot2020J,2019-07-07T05:27:15Z,2,0,https://github.com/RED-M0CKING-LINE/Team5183Robot2020J,1,Java,2,,,,,,,
76,3kuai/hanbo-jdbc,2018-11-07T09:56:59Z,2,2,https://github.com/3kuai/hanbo-jdbc,0,Java,1,,,,,,,
77,midn1/majc,2016-07-04T10:17:40Z,2,0,https://github.com/midn1/majc,8,Java,2,,,,,,,
78,codehaus/mrp,2012-04-16T08:58:42Z,2,2,https://github.com/codehaus/mrp,0,Java,2,,,,,,,
79,codehaus/gpars,2012-04-16T08:58:39Z,2,1,https://github.com/codehaus/gpars,0,Java,3,,,,,,,
80,wenxin666/hellodata,2019-06-23T18:28:01Z,2,0,https://github.com/wenxin666/hellodata,0,Java,0,,,,,,,
81,itsaky/PreUI,2019-10-03T15:39:41Z,2,2,https://github.com/itsaky/PreUI,0,Java,2,,,,,,,
82,ferlandlab/BranchAnalysis2D-3D,2017-10-16T21:34:50Z,2,1,https://github.com/ferlandlab/BranchAnalysis2D-3D,0,Java,1,,,,,,,
83,NCIP/rembrandt,2013-09-16T14:40:18Z,2,2,https://github.com/NCIP/rembrandt,0,Java,11,,,,,,,
84,DealerDotCom/grinder,2012-06-27T14:25:11Z,2,2,https://github.com/DealerDotCom/grinder,0,Java,3,,,,,,,
85,pressgang-ccms/PressGangCCMSREST,2012-07-24T21:25:11Z,2,3,https://github.com/pressgang-ccms/PressGangCCMSREST,0,Java,2,,,,,,,
86,hetelek/ColorRecognition,2013-05-28T02:46:52Z,2,0,https://github.com/hetelek/ColorRecognition,0,Java,1,,,,,,,
87,AppleCiderGuy/ImageRecognition,2017-08-07T01:15:12Z,2,0,https://github.com/AppleCiderGuy/ImageRecognition,0,Java,1,,,,,,,
88,xuevin/SPIE,2010-06-04T01:58:41Z,2,1,https://github.com/xuevin/SPIE,0,Java,1,,,,,,,
89,pratikdimble/Hibernate_Inheritance_Mapping_Table_Per_Sub_Class_XML_Using_DAO_Using_Maven,2017-12-16T01:01:46Z,2,0,https://github.com/pratikdimble/Hibernate_Inheritance_Mapping_Table_Per_Sub_Class_XML_Using_DAO_Using_Maven,0,Java,1,,,,,,,
90,Thalidomide/ImgC,2010-04-11T18:36:25Z,2,0,https://github.com/Thalidomide/ImgC,0,Java,1,,,,,,,
91,pratikdimble/Hibernate_Component_Mapping_Using_DAO_Using_Maven,2017-12-12T17:27:32Z,2,0,https://github.com/pratikdimble/Hibernate_Component_Mapping_Using_DAO_Using_Maven,0,Java,2,,,,,,,
92,jeffrschneider/Vertically-Challenged,2012-10-21T17:37:07Z,2,0,https://github.com/jeffrschneider/Vertically-Challenged,0,Java,1,,,,,,,
93,rhtnr/adwords-query-ranking-oracle,2014-03-21T04:18:40Z,2,3,https://github.com/rhtnr/adwords-query-ranking-oracle,0,Java,1,,,,,,,
94,mstao/PrimarySchoolProject,2017-03-13T04:13:07Z,1,7,https://github.com/mstao/PrimarySchoolProject,2,Java,0,,,,,,,
95,usf-cs212-2018/lectures,2018-01-17T22:06:14Z,1,11,https://github.com/usf-cs212-2018/lectures,0,Java,2,,,,,,,
96,spyros-argyroiliopoulos/codehub-spring-boot,2018-04-26T23:59:40Z,1,5,https://github.com/spyros-argyroiliopoulos/codehub-spring-boot,0,Java,1,,,,,,,
97,NCIP/cadsr-cde-browser,2013-07-29T15:24:48Z,1,4,https://github.com/NCIP/cadsr-cde-browser,1,Java,18,,,,,,,
98,Team-73-Git-Gud/CS-2340-Software,2018-01-12T19:54:13Z,1,2,https://github.com/Team-73-Git-Gud/CS-2340-Software,0,Java,1,,,,,,,
99,hellokoding/jpa-hibernate-composite-primary-key-example-with-mysql,2019-01-07T14:13:16Z,1,3,https://github.com/hellokoding/jpa-hibernate-composite-primary-key-example-with-mysql,0,Java,1,,,,,,,
100,ilius/pyglossary,2011-01-23T10:24:30Z,1113,149,https://github.com/ilius/pyglossary,9,Python,57,,,,,,,
101,NxRLab/ModernRobotics,2016-10-04T14:24:08Z,636,393,https://github.com/NxRLab/ModernRobotics,2,Python,58,,,,,,,
102,K3D-tools/K3D-jupyter,2015-10-16T10:14:20Z,337,60,https://github.com/K3D-tools/K3D-jupyter,31,Python,19,,,,,,,
103,nedwill/soundhax,2016-12-28T14:43:17Z,290,43,https://github.com/nedwill/soundhax,0,Python,44,,,,,,,
104,molyswu/hand_detection,2018-11-29T01:35:59Z,108,55,https://github.com/molyswu/hand_detection,0,Python,13,,,,,,,
105,bosichong/PrimarySchoolMathematics,2018-10-23T14:05:25Z,64,30,https://github.com/bosichong/PrimarySchoolMathematics,0,Python,6,,,,,,,
